temperature,precipitation,time_of_day,percentage
56,92,12,8.4
19,92,14,20.2
76,89,18,7.8
65,79,16,5.8
25,74,12,10.8
79,25,17,0.0
79,29,11,0.0
28,86,20,15.3
7,72,20,18.8
26,27,11,5.7
57,21,21,4.0
6,27,15,16.7
34,75,22,13.3
42,63,19,3.5
6,82,16,18.1
68,18,19,0.0
64,46,18,0.0
25,83,16,12.6
37,46,11,2.4
80,83,22,11.6
62,47,11,0.0
26,1,19,5.7
53,22,19,0.0
63,81,13,9.2
46,84,11,6.8
64,94,20,11.8
84,4,13,3.0
19,71,16,12.0
66,42,18,0.0
66,78,13,8.6
51,13,19,0.0
66,27,22,5.0
55,73,22,9.6
59,5,14,4.0
68,19,18,0.0
7,67,15,19.8
55,66,13,6.2
11,30,21,14.2
25,49,14,10.0
77,83,17,6.6
43,42,21,4.6
22,88,11,14.5
8,88,20,21.7
64,11,20,3.0
18,47,18,8.1
13,83,15,21.2
57,27,21,4.0
6,94,22,25.5
64,72,16,4.4
75,72,17,4.4
48,38,19,0.0
12,8,14,13.9
51,32,16,0.0
39,99,22,16.6
82,85,20,10.0
40,42,15,6.5
54,0,20,3.0
8,77,15,21.5
6,80,20,20.7
10,87,22,22.9
58,72,14,8.4
8,9,15,16.1
58,17,12,0.0
67,8,18,0.0
22,12,12,6.9
48,42,20,3.0
38,97,21,15.5
78,3,19,0.0
66,42,18,0.0
18,94,13,19.9
52,30,17,0.0
19,90,16,15.8
76,24,12,0.0
82,87,14,11.4
66,75,11,5.0
44,84,13,10.1
84,16,22,5.0
57,65,14,7.0
28,27,19,5.1
30,13,11,4.5
64,72,19,4.4
45,67,17,3.4
33,68,16,7.2
19,12,13,10.8
49,84,13,9.8
69,13,11,0.0
75,17,22,5.0
13,8,20,12.6
5,89,15,24.8
12,43,12,9.9
67,26,12,0.0
15,40,15,14.0
12,84,11,16.7
39,55,13,5.8
39,93,15,15.4
37,43,17,2.4
9,9,14,14.8
45,31,14,4.0
32,69,18,7.699999999999999
11,25,15,15.2
77,87,15,12.4
76,40,20,3.0
16,45,21,12.7
38,13,19,2.1
37,44,22,7.4
52,25,18,0.0
27,99,13,18.200000000000003
66,6,12,0.0
41,36,21,5.2
48,99,19,9.8
39,49,15,6.8
69,65,15,8.0
51,28,20,3.0
82,83,17,6.6
7,54,17,12.200000000000001
5,8,11,12.0
9,30,17,10.8
18,84,17,14.899999999999999
31,98,17,13.8
13,92,13,21.0
83,17,22,5.0
19,51,20,11.0
46,29,11,0.0
81,76,14,9.2
55,10,17,0.0
67,24,19,0.0
56,25,18,0.0
8,83,13,20.7
27,88,12,13.0
19,9,19,7.8
47,76,17,5.2
33,31,16,3.6
40,98,12,11.1
17,53,22,14.0
36,24,15,7.7
75,87,22,12.4
63,28,17,0.0
32,34,13,6.9
70,51,20,3.2
46,84,11,6.8
49,11,22,5.0
66,47,22,5.0
61,6,14,4.0
10,70,13,17.5
32,84,21,14.7
32,52,17,4.3
48,80,16,6.0
34,67,21,10.7
66,44,15,5.0
79,32,17,0.0
66,71,17,4.2
5,56,16,13.2
31,17,16,4.2
66,15,13,3.0
81,94,18,8.8
7,47,20,14.4
74,40,20,3.0
76,80,18,6.0
31,62,18,6.6
13,28,16,9.6
66,16,17,0.0
41,25,22,6.2
55,73,13,7.6
48,78,17,5.6
28,30,13,8.1
83,39,13,3.0
63,48,14,4.0
36,7,12,2.7
56,48,22,5.0
66,63,20,5.6
62,44,17,0.0
56,39,22,5.0
16,1,15,13.7
43,52,18,1.0
6,78,14,21.299999999999997
7,54,16,12.200000000000001
60,23,11,0.0
63,27,22,5.0
6,5,13,14.7
6,39,12,11.7
58,66,14,7.2
5,79,20,20.8
23,65,19,9.6
6,9,19,11.7
57,2,11,0.0
48,10,22,5.0
36,24,21,6.7
74,65,19,3.0
36,8,13,5.7
72,60,17,2.0
59,82,16,6.4
79,58,18,1.6
60,93,17,8.6
21,0,21,11.2
42,22,14,4.9
28,0,11,5.1
73,10,11,0.0
74,79,17,5.8
15,28,20,12.0
20,6,22,12.5
77,37,16,0.0
63,3,21,4.0
74,99,16,9.8
84,9,19,0.0
7,53,14,16.0
24,87,12,13.7
63,29,12,0.0
40,9,21,5.5
23,53,21,11.2
71,40,19,0.0
23,6,17,6.6
24,55,19,7.3
75,96,12,9.2
56,19,19,0.0
37,5,16,2.4
44,85,14,11.3
43,15,21,4.6
5,15,12,12.0
15,97,19,18.4
61,22,18,0.0
54,2,16,0.0
27,85,17,12.4
35,27,22,8.0
46,18,17,0.0
11,57,19,11.6
20,60,21,13.5
64,39,12,0.0
6,84,12,18.5
5,96,20,24.2
52,2,12,0.0
16,32,14,12.7
73,7,13,3.0
41,38,21,5.2
36,74,11,7.5
13,41,19,9.6
23,91,20,17.799999999999997
52,27,11,0.0
84,28,11,0.0
7,19,12,11.4
24,94,16,15.100000000000001
28,51,20,8.3
58,80,16,6.0
37,77,11,7.800000000000001
28,35,21,9.1
79,96,13,12.2
76,20,19,0.0
40,36,14,5.5
42,97,15,15.3
29,17,13,7.8
22,72,19,11.3
70,17,16,0.0
58,68,20,6.6
39,75,21,10.8
84,55,22,6.0
65,65,15,8.0
45,1,19,0.0
37,20,14,6.4
72,15,14,4.0
37,35,13,5.4
18,98,16,17.7
25,83,18,12.6
52,33,20,3.0
24,97,19,15.7
12,19,18,9.9
11,75,20,18.2
71,22,19,0.0
21,32,22,12.2
37,6,22,7.4
52,50,11,0.0
80,44,22,5.0
63,67,17,3.4
26,47,15,10.7
34,78,15,13.899999999999999
42,74,20,8.7
55,68,13,6.6
58,63,13,5.6
12,13,12,9.9
31,49,12,4.2
31,8,15,9.2
25,43,19,6.0
34,95,15,17.3
32,20,18,3.9
68,88,13,10.6
